,Model,Acc Male,TPR Male,TNR Male,FPR Male,FNR Male,Acc Not Male,TPR Not Male,TNR Not Male,FPR Not Male,FNR Not Male,DPR,DPD,EOR,EOD
0,ConvNet_0,0.6141283214517175,0.8388888888888889,0.6087591240875913,0.39124087591240875,0.16111111111111112,0.6550175553196701,0.9274193548387096,0.5858503122760316,0.4141496877239685,0.07258064516129033,0.7753249097196367,0.11640103272874214,0.9045410628019325,0.08853046594982072
1,ConvNet_1,0.6097213220998056,0.8111111111111111,0.6049104180491042,0.39508958195089583,0.18888888888888888,0.661958030538091,0.9153225806451613,0.5976246544486536,0.40237534555134635,0.0846774193548387,0.7996023874730834,0.10145057546067471,0.8861478218306412,0.10421146953405014
2,ConvNet_2,0.6370706416072586,0.8388888888888889,0.632249502322495,0.36775049767750495,0.16111111111111112,0.659426798399608,0.9125,0.5951674004300195,0.4048325995699805,0.0875,0.7460932857047102,0.12889181373183772,0.9084013937319654,0.07361111111111107
3,ConvNet_3,0.615554115359689,0.8277777777777777,0.6104844061048441,0.38951559389515594,0.17222222222222222,0.647015595656079,0.917741935483871,0.5782737790519095,0.42172622094809054,0.08225806451612903,0.7655395067740157,0.12242792963012733,0.9019722710408123,0.08996415770609323
4,ConvNet_4,0.5914452365521711,0.8222222222222222,0.5859323158593231,0.41406768414067685,0.17777777777777778,0.6528945864293296,0.9185483870967742,0.5854407699395925,0.4145592300604075,0.0814516129032258,0.819932310794268,0.09302590590386761,0.8951321822261242,0.09632616487455203
5,ConvNet_5,0.5993519118600129,0.8222222222222222,0.5940278699402787,0.4059721300597213,0.17777777777777778,0.49587654119376173,0.9504032258064516,0.3804648305518583,0.6195351694481417,0.04959677419354839,0.60548033752381,0.27085174508857723,0.6552850428513135,0.21356303938842036
6,ConvNet_6,0.5604666234607907,0.8388888888888889,0.5538155275381553,0.44618447246184473,0.16111111111111112,0.48264881195394793,0.9560483870967742,0.362444967748541,0.637555032251459,0.04395161290322581,0.6485963442039981,0.24670275435078176,0.6998367982230347,0.19137055978961431
7,ConvNet_7,0.5797796500324044,0.7722222222222223,0.5751824817518248,0.4248175182481752,0.22777777777777777,0.4708091777578182,0.9564516129032258,0.34749667246851645,0.6525033275314835,0.043548387096774194,0.6062900492717439,0.2811295434897199,0.6510580104707245,0.22768580928330834
8,ConvNet_8,0.5870382372002593,0.8333333333333334,0.5811546118115462,0.4188453881884539,0.16666666666666666,0.46158242834979996,0.9596774193548387,0.3351080167912358,0.6648919832087642,0.04032258064516129,0.5913944061098192,0.2960697346437058,0.6299450117703463,0.2460465950203103
9,ConvNet_9,0.5799092676604019,0.8166666666666667,0.5742534837425348,0.4257465162574652,0.18333333333333332,0.48550665469094473,0.9528225806451613,0.3668475478652606,0.6331524521347395,0.04717741935483871,0.6231213159275376,0.26301805444331966,0.6724233868510127,0.2074059358772743
